"query","score","prevScore","diffScore","found"
"rupture conventionnelle",1,0,1,"1/1"
"rupture conventionnelle individuelle",1,0,1,"1/1"
"rupture conventionnelle individuelle indemnité de rupture",0.3,0,0.3,"3/3"
"rupture conventionnelle collective",0,0,0,"1/1"
"rupture conventionnelle collective comment le contester ?",0,0,0,"1/1"
"lettre de demission",0.5666666666666668,0,0.5666666666666668,"3/3"
"inspection du travail",1,0,1,"1/1"
"cheque vacances",0.9,0,0.9,"1/1"
"contrat de professionnalisation",0.7749999999999999,0,0.7749999999999999,"4/4"
"CDI",1,0,1,"1/1"
"dpae",0.9,0,0.9,"2/2"
"cpf",0.9,0,0.9,"1/1"
"chsct",0.7,0,0.7,"1/1"
"vae",0.29999999999999993,0,0.29999999999999993,"1/1"
"kbis",1,0,1,"1/1"
"abandon de poste",0.75,0,0.75,"2/2"
"congé parental",0.4,0,0.4,"2/2"
"compte personnel de formation",1,0,1,"1/1"
"solde de tout compte",0.6,0,0.6,"4/4"
"licenciement économique conditions",0.4666666666666666,0,0.4666666666666666,"3/3"
"congés payés",0.7,0,0.7,"1/1"
"epargne salariale",0,0,0,"2/2"
"harcèlement moral",0.7250000000000001,0,0.7250000000000001,"4/4"
"certificat de travail",0.6,0,0.6,"3/3"
"demission cdi chomage",0.6333333333333333,0,0.6333333333333333,"3/3"
"ai je droit à l'allocation chômage en cas de rupture conventionnelle",1,0,1,"1/1"
"licenciement pour faute grave",0.8000000000000002,0,0.8000000000000002,"3/3"
"calcul indemnité rupture conventionnelle",0.3666666666666667,0,0.3666666666666667,"3/3"
"contrat de professionnalisation salaire",0.9,0,0.9,"1/1"
"formulaire accident du travail",0,0,0,"1/1"
"combien est on payé en accident de travail",0,0,0,"1/1"
"licenciement économique",0.5,0,0.5,"2/2"
"convention collective",0.95,0,0.95,"2/2"
"congé maternité",0.8333333333333334,0,0.8333333333333334,"3/3"
"indemnité licenciemenet inaptitude professionnelle",0,0,0,"2/2"
"refus congés payés",0,0,0,"3/3"
"congés payés imposés",0.3,0,0.3,"3/3"
"inaptitude ancienneté propreté indemnité de licenciement",0,0,0,"1/1"
"comment rompre mon contrat d'apprentissage",1,0,1,"1/1"
"comment contester mon licenciement pour faute grave",0,0,0,"1/1"
"rendez vous médicaux grossesse",0,0,0,"2/2"
"temps de travail effectif",1,0,1,"1/1"
"Est ce que mon employeur doit me remettre mon contrat de travail",0.7,0,0.7,"1/1"
"A quelle date l'employeur doit il régler mon salaire",0,0,0,"1/1"
"Est-ce que mon employeur peut me licencier durant mon arrêt maladie?",0,0,0,"2/2"
"Quelles sont les conséquences si je ne respecte pas mon préavis de démission?",0,0,0,"1/1"
"Quelles sont les risques encourus si je ne respecte pas mon préavis de démission?",0,0,0,"1/1"
"A quelle date l'employeur doit il me remettre mes documents de fin de contrat?",0,0,0,"1/1"
"remise de mes dcuments de fin de contrat",0,0,0,"1/1"
"je n'ai pas signé de contrat de travail travail illégal",0,0,0,"1/1"
"L'employeur a t-il le droit de me payer en liquide ou en espèce",0,0,0,"1/1"
"différencier salarié, indépendant, et faux indépendant?",0,0,0,"1/1"
"je n'ai pas signé de contrat de travail ai-je été emabauché illégalement?",0,0,0,"2/2"
"je suis stagiaire, quels sont mes droits?",0,0,0,"1/1"
"licenciée pour inaptitude professionnelle 18 ans",0,0,0,"1/1"
"modification du contrat de travail, réduction d'horaires",0,0,0,"1/1"
"Je suis en CDD quelle est ma période d'essai",0.9,0,0.9,"1/1"
"Comment demander une rupture conventionnelle?",0,0,0,"1/1"
"Qui dois-je consulter en cas de harcèlement moral?",0,0,0,"1/1"
"quelle est la durée du congé de maternité",1,0,1,"1/1"
"assistance entretien préalable",0,0,0,"2/2"
"je travaille dans le bâtiment, et mon chef ne relève pas mes heures de travail",0,0,0,"1/1"
"je travaille dans une entreprise de nettoyage industrielle, mon employeur a perdu le marché est je que conserve mon contrat de travail?",0,0,0,"1/1"
"je suis employé à domicile, est-il obligatoire d'avoir un contrat de travail?",0,0,0,"1/1"
"j'ai négocié d'avancer la fin de mon préavis avec mon employeur, celle ci est elle remis een cause en cas d'absence injustifiée?",0,0,0,"1/1"
"L1242-8",0,0,0,"1/1"
"L.1242-8",0,0,0,"1/1"
"L 1242-8",0,0,0,"1/1"
