code	Articles	tag_1	tag_2	tag_3	tag_4	tag_5	tag_6	tag_7
6600	L1411-1; L1411-2; L1411-3; L1411-4; L1411-5; L1411-6	Contrat de travail	Conseil de prudhommes (CPH)	Attributions du conseil de prudhommes (CPH)	Compétence en raison de la matière			
6700	R1412-1; R1412-2; R1412-3; R1412-4; R1412-5	Contrat de travail	Conseil de prudhommes (CPH)	Attributions du conseil de prudhommes (CPH)	Compétence territoriale			
6800	R1431-4; R1431-5; R1431-6; R1431-7; R1431-8; L1431-1; R1431-1; R1431-2; R1431-3; R1431-3-1	Contrat de travail	Conseil de prudhommes (CPH)	Conseil Supérieur Prud'homie	Composition, mission			
6900	L1431-2	Contrat de travail	Conseil de prudhommes (CPH)	Conseil Supérieur Prud'homie	Exercice des fonctions			
7000	R1431-9; R1431-10; R1431-11; R1431-12; R1431-13; R1431-14; R1431-15; R1431-16	Contrat de travail	Conseil de prudhommes (CPH)	Conseil Supérieur Prud'homie	Organisation, fonctionnement			
7100	L1441-3; L1441-4; L1441-5	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Collèges électoraux			
7200	L1441-14; L1441-15	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Contestation d'une inscription			
7300	L1441-1; L1441-2	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Electeurs			
7400	R1441-19; R1441-15; R1441-16; R1441-17; R1441-18; R1441-1; R1441-2; R1441-3; R1441-4; R1441-5; R1441-6; R1441-7; R1441-8; R1441-9; R1441-10; R1441-11; R1441-12; R1441-13; R1441-14	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Electorat			
7500	L1441-16; L1441-17; L1441-18; L1441-19; L1441-20; L1441-21	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Eligibilité			
7600	L1441-8; L1441-9; L1441-10; L1441-11; L1441-12; L1441-13	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Etablissement des listes électorales			
7700	L1441-22; L1441-23; L1441-24; L1441-26; L1441-27; L1441-25; R1441-25; R1441-26	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Liste des candidats			
7800	R1441-21; D1441-22-1; D1441-22-2; D1441-22-3; D1441-22-4; R1441-23; R1441-22; R1441-20; R1441-24; D1441-24-1; D1441-24-2; D1441-24-3	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Listes électorales			
7900	L1441-29; L1441-30; L1441-31; L1441-28	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Organisation du scrutin			
8000	L1441-6; L1441-7	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Election	Section et commune d'inscription			
8100	L1443-1	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Pénal	Pénal			
8200	L1442-13-1; L1442-11; L1442-12; L1442-13; L1442-14; L1442-15; L1442-16; L1442-17; L1442-18; L1442-13-2; L1442-13-3; L1442-16-1; L1442-16-2; D1442-23; D1442-24; R1442-22; R1442-21; R1442-22-1; R1442-22-2; R1442-22-3; R1442-22-4; R1442-22-5; R1442-22-6; D1442-20; R1442-22-7; R1442-22-8; R1442-22-9; R1442-22-10; R1442-22-11; R1442-22-12; R1442-22-13; R1442-22-14; R1442-22-15; R1442-22-16; R1442-22-17; L1442-3; L1442-5; L1442-6; L1442-7; L1442-8; L1442-9; L1442-10; D1442-11; D1442-12; D1442-13; D1442-14; D1442-16; D1442-17; D1442-18; D1442-19; D1442-10-1; D1442-10-2; D1442-10-3; D1442-10-4; D1442-10-5; D1442-10-6; L1442-1; L1442-2; D1442-1; R1442-2; D1442-3; D1442-4; D1442-5; D1442-6; D1442-7; D1442-8; D1442-9; D1442-10; D1442-25; D1442-26; D1442-27; D1442-28; L1442-19	Contrat de travail	Conseil de prudhommes (CPH)	Conseillers prudhommes: Statut				
8300	L1423-12; L1423-13; R1423-34; R1423-35	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Bureau conciliation, de jugement, référé			
8400	R1423-8; R1423-9; R1423-10	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Chambres			
8500	L1423-8; L1423-9; L1423-10; L1423-11; R1423-32; R1423-33; L1423-10-1	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Difficultés de constitution, fonctionnement			
8600	L1421-1; L1421-2	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Dispositions générales			
8700	R1423-55; D1423-56; D1423-57; D1423-58; D1423-59; D1423-60; D1423-61; D1423-62; D1423-63; D1423-64; D1423-65; D1423-66; D1423-67; D1423-68; D1423-69; D1423-70; D1423-63-1; D1423-66-1; L1423-14; L1423-15; R1423-51; R1423-52; R1423-53; D1423-71; D1423-72; D1423-75; D1423-74; D1423-73; R1423-54	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Dépenses conseil de prudhommes			
8800	R1423-36; R1423-37; R1423-38; R1423-39; R1423-40; R1423-41; R1423-42; R1423-43; R1423-44; R1423-45; R1423-46; R1423-47; R1423-48; R1423-49; R1423-50; R1423-50-1	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Greffe			
8900	L1422-1; L1422-2; L1422-3; R1422-1; R1422-2; R1422-3; R1422-4	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Institutions			
9000	R1423-30; R1423-31; R1423-29; R1423-25; R1423-26; R1423-27; R1423-28; R1423-23; R1423-24	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Organisation, fonctionnement			
