thème niveau 1,thème niveau 2,thème niveau 3,thème niveau 4
1 | Recrutement et contrat de travail,9 | Recrutement,50 | Méthodes de recrutement,
1 | Recrutement et contrat de travail,9 | Recrutement,51 | Curriculum vitae (CV),
1 | Recrutement et contrat de travail,9 | Recrutement,52 | Formalités d'embauche,195 | Offre de contrat et promesse unilatérale
1 | Recrutement et contrat de travail,9 | Recrutement,53 | Travailleurs étrangers,
1 | Recrutement et contrat de travail,9 | Recrutement,54 | Expatriation,
1 | Recrutement et contrat de travail,9 | Recrutement,55 | Détachement,
1 | Recrutement et contrat de travail,9 | Recrutement,56 | Stage,
1 | Recrutement et contrat de travail,9 | Recrutement,57 | Handicap,
1 | Recrutement et contrat de travail,9 | Recrutement,58 | Jeunes,
1 | Recrutement et contrat de travail,9 | Recrutement,59 | Volontaire international en entreprise (VIE),
1 | Recrutement et contrat de travail,10 | Contrat de travail,60 | Contrat à durée indéterminée (CDI),
1 | Recrutement et contrat de travail,10 | Contrat de travail,61 | Contrat à durée déterminée (CDD),
1 | Recrutement et contrat de travail,10 | Contrat de travail,62 | Contrat de travail temporaire (intérim),
1 | Recrutement et contrat de travail,10 | Contrat de travail,63 | Emploi saisonnier,
1 | Recrutement et contrat de travail,10 | Contrat de travail,64 | Contrats d'insertion,196 | Contrat unique d'insertion (CUI) - Parcours emploi compétences (PEC)
1 | Recrutement et contrat de travail,10 | Contrat de travail,64 | Contrats d'insertion,197 | Emploi d'avenir
1 | Recrutement et contrat de travail,10 | Contrat de travail,64 | Contrats d'insertion,198 | Étudiant apprenti professeur (EAP)
1 | Recrutement et contrat de travail,10 | Contrat de travail,64 | Contrats d'insertion,199 | Contrat adultes-relais
1 | Recrutement et contrat de travail,10 | Contrat de travail,64 | Contrats d'insertion,200 | CDD senior
1 | Recrutement et contrat de travail,10 | Contrat de travail,64 | Contrats d'insertion,201 | Garantie jeunes
1 | Recrutement et contrat de travail,10 | Contrat de travail,65 | Contrats en alternance,202 | Contrat d'apprentissage
1 | Recrutement et contrat de travail,10 | Contrat de travail,65 | Contrats en alternance,203 | Contrat de professionnalisation
2 | Salaire et Rémunération,11 | Paiement du salaire,,
2 | Salaire et Rémunération,12 | Bulletin de paie,,
2 | Salaire et Rémunération,13 | Cotisations salariales,,
2 | Salaire et Rémunération,14 | Remboursement des frais de transport,,
2 | Salaire et Rémunération,"15 | Salaire, primes et avantages",,
2 | Salaire et Rémunération,16 | Smic (Salaire minimum de croissance),,
2 | Salaire et Rémunération,17 | Intéressement et participation,,
3 | Temps de travail et congés,18 | Temps de travail,66 | Durée du travail,204 | Définition du temps de travail
3 | Temps de travail et congés,18 | Temps de travail,66 | Durée du travail,205 | Durée du travail à temps complet
3 | Temps de travail et congés,18 | Temps de travail,66 | Durée du travail,206 | Durée du travail d'un jeune avant 18 ans
3 | Temps de travail et congés,18 | Temps de travail,66 | Durée du travail,207 | Convention de forfait (en heures ou en jours)
3 | Temps de travail et congés,18 | Temps de travail,66 | Durée du travail,208 | Temps partiel
3 | Temps de travail et congés,18 | Temps de travail,67 | Repos,209 | Pause
3 | Temps de travail et congés,18 | Temps de travail,67 | Repos,210 | Repos quotidien
3 | Temps de travail et congés,18 | Temps de travail,67 | Repos,211 | Repos hebdomadaire
3 | Temps de travail et congés,18 | Temps de travail,67 | Repos,212 | Repos dominical
3 | Temps de travail et congés,18 | Temps de travail,68 | Aménagement du temps de travail,213 | Répartition des horaires
3 | Temps de travail et congés,18 | Temps de travail,68 | Aménagement du temps de travail,214 | Horaires individualisés
3 | Temps de travail et congés,18 | Temps de travail,68 | Aménagement du temps de travail,215 | Réduction du temps de travail (RTT)
3 | Temps de travail et congés,18 | Temps de travail,"69 | Heures supplémentaires, équivalence et astreintes",216 | Heures supplémentaires
3 | Temps de travail et congés,18 | Temps de travail,"69 | Heures supplémentaires, équivalence et astreintes",217 | Heures d'équivalence
3 | Temps de travail et congés,18 | Temps de travail,"69 | Heures supplémentaires, équivalence et astreintes",218 | Astreintes
3 | Temps de travail et congés,18 | Temps de travail,70 | Travail de nuit et en soiréee,
3 | Temps de travail et congés,"19 | Dimanches, jours fériés et ponts",,
3 | Temps de travail et congés,20 | Congés,71 | Congés payés,
3 | Temps de travail et congés,20 | Congés,72 | Congé maternité,
3 | Temps de travail et congés,20 | Congés,73 | Congé de paternité et d'accueil de l'enfant,
3 | Temps de travail et congés,20 | Congés,74 | Congé d'adoption,
3 | Temps de travail et congés,20 | Congés,75 | Congé pour naissance ou adoption,
3 | Temps de travail et congés,20 | Congés,76 | Congé parental à temps plein,
3 | Temps de travail et congés,20 | Congés,77 | Congé pour enfant malade,
3 | Temps de travail et congés,20 | Congés,78 | Congé de présence parentale,
3 | Temps de travail et congés,20 | Congés,79 | Congé de proche aidant,
3 | Temps de travail et congés,20 | Congés,80 | Congé de solidarité familiale,
3 | Temps de travail et congés,20 | Congés,81 | Survenue du handicap d'un enfant,
3 | Temps de travail et congés,20 | Congés,82 | Création ou reprise d'entreprise,
3 | Temps de travail et congés,20 | Congés,83 | Enseignement ou recherche,
3 | Temps de travail et congés,20 | Congés,84 | Exercice d'un mandat politique local,
3 | Temps de travail et congés,20 | Congés,85 | Mariage ou Pacs,
3 | Temps de travail et congés,20 | Congés,86 | Décès d'un membre de sa famille,
3 | Temps de travail et congés,20 | Congés,87 | Congé sabbatique,
3 | Temps de travail et congés,21 | Compte épargne-temps (CET),,
3 | Temps de travail et congés,22 | Don de jours,,
4 | Emploi et formation,23 | Formation,88 | Dispositifs d'accès à la formation,219 | Plan de développement des compétences
4 | Emploi et formation,23 | Formation,88 | Dispositifs d'accès à la formation,220 | Périodes de mise en situation en milieu professionnel (PMSMP)
4 | Emploi et formation,23 | Formation,88 | Dispositifs d'accès à la formation,221 | Compte personnel de formation (CPF)
4 | Emploi et formation,23 | Formation,88 | Dispositifs d'accès à la formation,222 | Conseil en évolution professionnelle (CEP)
4 | Emploi et formation,23 | Formation,88 | Dispositifs d'accès à la formation,223 | L'entretien professionnel
